T,D,S,phi_cvar,l_tds
0,0,0,0.0,0.0
0,0,LN_R_1,-0.0,0.0
0,0,LN_R_2,-0.0,0.0
0,0,LN_R_3,-0.0,0.0
0,0,LN_R_4,-0.0,0.0
0,0,LN_R_5,-1.1641532356165829e-11,-1.1641532182693482e-11
0,0,LN_R_6,-0.0,0.0
0,0,LN_R_7,-1.1641532356165829e-11,-1.1641532182693482e-11
0,0,LN_R_8,-0.0,0.0
0,0,LN_R_9,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_10,-0.0,0.0
0,0,LN_R_11,-0.0,0.0
0,0,LN_R_12,-1.1641531488804091e-11,-1.1641532182693482e-11
0,0,LN_R_13,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_14,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_15,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_16,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_17,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_18,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_19,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_20,-1.1641533223527567e-11,-1.1641532182693482e-11
0,0,LN_R_21,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_22,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_23,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_24,-0.0,0.0
0,0,LN_R_25,-0.0,0.0
0,0,LN_R_26,-0.0,0.0
0,0,LN_R_27,-0.0,0.0
0,0,LN_R_28,-0.0,0.0
0,0,LN_R_29,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_30,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_31,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_32,-0.0,0.0
0,0,LN_R_33,0.0,-1.1641532182693482e-11
0,0,LN_R_34,0.0007359999988693745,0.0007359999988693745
0,0,LN_R_35,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_36,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_37,-1.1641534958251043e-11,-1.1641532182693482e-11
0,0,LN_R_38,0.0010580000001937152,0.0010580000001937152
0,0,LN_R_39,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_40,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_41,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_42,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_43,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_44,-1.1641534958251043e-11,-1.1641532182693482e-11
0,0,LN_R_45,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_46,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_47,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_48,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_49,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_50,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,LN_R_51,-1.1641532356165829e-11,-1.1641532182693482e-11
0,0,LN_R_52,-1.1641531488804091e-11,-1.1641532182693482e-11
0,0,LN_R_53,0.0,0.0
0,0,S_R_1,0.014976399971055798,0.0149763999710558
0,0,EVT_1,0.00866591955767939,0.00866591955767939
0,0,EVT_2,-0.0,0.0
0,0,EVT_3,-0.0,0.0
0,0,EVT_4,-0.0,0.0
0,0,EVT_5,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,EVT_6,-0.0,0.0
0,0,EVT_7,-5.820766091346741e-12,-5.820766091346741e-12
0,0,EVT_8,-0.0,0.0
0,0,EVT_9,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,EVT_10,0.029952797008445487,0.02995279700844552
0,0,EVT_11,-1.7462298274040225e-11,-1.7462298274040225e-11
