L_e,T,D,f_l
0,0,0,0.0019812000000000002
0,0,1,0.0019812000000000002
0,0,2,0.0019812000000000002
0,0,3,0.0019812000000000002
0,1,0,0.0019812000000000002
0,1,1,0.0019812000000000002
0,1,2,0.0019812000000000002
0,1,3,0.0019812000000000002
0,2,0,0.0019812000000000002
0,2,1,0.0019812000000000002
0,2,2,0.0019812000000000002
0,2,3,0.0019812000000000002
0,3,0,0.0019812000000000002
0,3,1,0.0019812000000000002
0,3,2,0.0019812000000000002
0,3,3,0.0019812000000000002
0,4,0,0.0019812000000000002
0,4,1,0.0019812000000000002
0,4,2,0.0019812000000000002
0,4,3,0.0019812000000000002
0,5,0,0.0039624000000000005
0,5,1,0.0039624000000000005
0,5,2,0.004953
0,5,3,0.0029717999999999997
0,6,0,0.0039624000000000005
0,6,1,0.0039624000000000005
0,6,2,0.004953
0,6,3,0.0029717999999999997
0,7,0,0.0039624000000000005
0,7,1,0.0039624000000000005
0,7,2,0.004953
0,7,3,0.0029717999999999997
0,8,0,0.0039624000000000005
0,8,1,0.0039624000000000005
0,8,2,0.004953
0,8,3,0.0029717999999999997
0,9,0,0.0089154
0,9,1,0.004953
0,9,2,0.005943599999999999
0,9,3,0.0039624000000000005
0,10,0,0.0089154
0,10,1,0.004953
0,10,2,0.005943599999999999
0,10,3,0.0039624000000000005
0,11,0,0.0089154
0,11,1,0.004953
0,11,2,0.005943599999999999
0,11,3,0.0039624000000000005
0,12,0,0.0089154
0,12,1,0.004953
0,12,2,0.005943599999999999
0,12,3,0.0039624000000000005
0,13,0,0.009906
0,13,1,0.005943599999999999
0,13,2,0.0069342
0,13,3,0.004953
0,14,0,0.009906
0,14,1,0.005943599999999999
0,14,2,0.0069342
0,14,3,0.004953
0,15,0,0.009906
0,15,1,0.005943599999999999
0,15,2,0.0069342
0,15,3,0.004953
0,16,0,0.009906
0,16,1,0.005943599999999999
0,16,2,0.0069342
0,16,3,0.004953
0,17,0,0.009906
0,17,1,0.005943599999999999
0,17,2,0.0069342
0,17,3,0.004953
0,18,0,0.004953
0,18,1,0.004953
0,18,2,0.005943599999999999
0,18,3,0.0039624000000000005
0,19,0,0.004953
0,19,1,0.004953
0,19,2,0.005943599999999999
0,19,3,0.0039624000000000005
0,20,0,0.0039624000000000005
0,20,1,0.004953
0,20,2,0.0039624000000000005
0,20,3,0.0039624000000000005
0,21,0,0.0039624000000000005
