N,T,D,v
1,0,0,1.0407204797557132
1,0,1,1.0407204797557132
1,0,2,1.0407204797557132
1,0,3,1.0407204797557132
1,1,0,1.0407204797557132
1,1,1,1.0407204797557132
1,1,2,1.0407204797557132
1,1,3,1.0407204797557132
1,2,0,1.0407204797557132
1,2,1,1.0407204797557132
1,2,2,1.0407204797557132
1,2,3,1.0407204797557132
1,3,0,1.0407204797557132
1,3,1,1.0407204797557132
1,3,2,1.0407204797557132
1,3,3,1.0407204797557132
1,4,0,1.0407204797557132
1,4,1,1.0407204797557132
1,4,2,1.0407204797557132
1,4,3,1.0407204797557132
1,5,0,1.027638059310577
1,5,1,0.9679869366412741
1,5,2,0.9707878981677489
1,5,3,1.0317748469351586
1,6,0,0.9676234950162885
1,6,1,1.0321887646775223
1,6,2,1.0280519770529406
1,6,3,0.9629016000561799
1,7,0,0.9676234950162885
1,7,1,1.0321887646775223
1,7,2,1.0280519770529406
1,7,3,0.9629016000561799
1,8,0,0.9676234950162885
1,8,1,1.0321887646775223
1,8,2,1.0280519770529406
1,8,3,0.9629016000561799
1,9,0,0.989954502728219
1,9,1,0.9787506566223204
1,9,2,1.0125384260109969
1,9,3,1.02081200126016
1,10,0,0.9914911096458656
1,10,1,1.0280519770529406
1,10,2,1.023915189428359
1,10,3,0.9676234950162885
1,11,0,0.9914911096458656
1,11,1,1.0280519770529406
1,11,2,1.023915189428359
1,11,3,0.9676234950162885
1,12,0,0.9914911096458656
1,12,1,1.0280519770529406
1,12,2,1.023915189428359
1,12,3,0.9676234950162885
1,13,0,0.9938860239566973
1,13,1,0.9749984441162578
1,13,2,0.9797203390763684
1,13,3,1.0259831362326903
1,14,0,0.9959548647769473
1,14,1,0.9770672849365081
1,14,2,0.9817891798966184
1,14,3,0.9726035298054266
1,15,0,0.9959548647769473
1,15,1,0.9770672849365081
1,15,2,0.9817891798966184
1,15,3,0.9726035298054266
1,16,0,0.9959548647769473
1,16,1,0.9770672849365081
1,16,2,0.9817891798966184
1,16,3,0.9726035298054266
1,17,0,0.9959548647769473
1,17,1,0.9770672849365081
1,17,2,0.9817891798966184
1,17,3,0.9726035298054266
1,18,0,1.040552371425104
1,18,1,0.984845784348562
1,18,2,0.9895676793086715
1,18,3,1.0436312973471908
1,19,0,1.0280519770529406
1,19,1,1.0280519770529406
1,19,2,1.023915189428359
1,19,3,0.9676234950162885
1,20,0,1.0345764804564748
1,20,1,0.974733105755351
1,20,2,0.9700112107952411
1,20,3,1.0348116745229226
1,21,0,0.9676234950162885
1,21,1,1.0280519770529406
1,21,2,0.9676234950162885
1,21,3,0.9676234950162885
1,22,0,0.9652893158351326
1,22,1,0.9652893158351326
1,22,2,0.9652893158351326
1,22,3,1.0389484621475036
1,23,0,0.9652893158351326
1,23,1,0.9652893158351326
1,23,2,0.9652893158351326
1,23,3,1.0389484621475036
2,0,0,1.040680516587318
2,0,1,1.040680516587318
2,0,2,1.040680516587318
2,0,3,1.040680516587318
2,1,0,1.040680516587318
2,1,1,1.040680516587318
2,1,2,1.040680516587318
2,1,3,1.040680516587318
2,2,0,1.040680516587318
2,2,1,1.040680516587318
2,2,2,1.040680516587318
2,2,3,1.040680516587318
2,3,0,1.040680516587318
2,3,1,1.040680516587318
2,3,2,1.040680516587318
2,3,3,1.040680516587318
2,4,0,1.040680516587318
2,4,1,1.040680516587318
2,4,2,1.040680516587318
2,4,3,1.040680516587318
2,5,0,1.0275581329737868
2,5,1,0.967907010304484
2,5,2,0.9706879902467612
2,5,3,1.031714902182566
2,6,0,0.9675435686794984
2,6,1,1.0321088383407322
2,6,2,1.027952069131953
2,6,3,0.9628416553035872
2,7,0,0.9675435686794984
2,7,1,1.0321088383407322
2,7,2,1.027952069131953
2,7,3,0.9628416553035872
2,8,0,0.9675435686794984
2,8,1,1.0321088383407322
2,8,2,1.027952069131953
2,8,3,0.9628416553035872
2,9,0,0.9897746684704413
2,9,1,0.9786507487013327
2,9,2,1.0124185365058116
2,9,3,1.02073207492337
2,10,0,0.9913112753880878
2,10,1,1.027952069131953
2,10,2,1.0237952999231736
2,10,3,0.9675435686794984
2,11,0,0.9913112753880878
2,11,1,1.027952069131953
2,11,2,1.0237952999231736
2,11,3,0.9675435686794984
2,12,0,0.9913112753880878
2,12,1,1.027952069131953
2,12,2,1.0237952999231736
2,12,3,0.9675435686794984
2,13,0,0.9936862081147221
2,13,1,0.9748785546110726
2,13,2,0.9795804679869856
2,13,3,1.0258832283117028
2,14,0,0.995755048934972
2,14,1,0.9769473954313229
2,14,2,0.9816493088072357
2,14,3,0.972503621884439
2,15,0,0.995755048934972
2,15,1,0.9769473954313229
2,15,2,0.9816493088072357
2,15,3,0.972503621884439
2,16,0,0.995755048934972
2,16,1,0.9769473954313229
2,16,2,0.9816493088072357
2,16,3,0.972503621884439
2,17,0,0.995755048934972
2,17,1,0.9769473954313229
2,17,2,0.9816493088072357
2,17,3,0.972503621884439
2,18,0,1.0404524635041164
2,18,1,0.9847458764275743
2,18,2,0.9894477898034864
2,18,3,1.0435513710104007
2,19,0,1.027952069131953
2,19,1,1.027952069131953
2,19,2,1.0237952999231736
2,19,3,0.9675435686794984
2,20,0,1.0344965541196847
2,20,1,0.9746331978343633
2,20,2,0.969931284458451
2,20,3,1.0347317481861324
2,21,0,0.9675435686794984
2,21,1,1.027952069131953
2,21,2,0.9675435686794984
2,21,3,0.9675435686794984
2,22,0,0.9652293710825399
2,22,1,0.9652293710825399
2,22,2,0.9652293710825399
2,22,3,1.038888517394911
2,23,0,0.9652293710825399
2,23,1,0.9652293710825399
2,23,2,0.9652293710825399
2,23,3,1.038888517394911
3,0,0,1.0371782101230074
3,0,1,1.0371782101230074
3,0,2,1.0371782101230074
3,0,3,1.0371782101230074
3,1,0,1.0371782101230074
3,1,1,1.0371782101230074
3,1,2,1.0371782101230074
3,1,3,1.0371782101230074
3,2,0,1.0371782101230074
3,2,1,1.0371782101230074
3,2,2,1.0371782101230074
3,2,3,1.0371782101230074
3,3,0,1.0371782101230074
3,3,1,1.0371782101230074
3,3,2,1.0371782101230074
3,3,3,1.0371782101230074
3,4,0,1.0371782101230074
3,4,1,1.0371782101230074
3,4,2,1.0371782101230074
3,4,3,1.0371782101230074
3,5,0,1.0191386738591912
3,5,1,0.9594875511898885
3,5,2,0.9607894637050052
3,5,3,1.024774510495131
3,6,0,0.9610831273608664
3,6,1,1.0256483970221002
3,6,2,1.0200125603861605
3,6,3,0.9578602814121159
3,7,0,0.9610831273608664
3,7,1,1.0256483970221002
3,7,2,1.0200125603861605
3,7,3,0.9578602814121159
3,8,0,0.9610831273608664
3,8,1,1.0256483970221002
3,8,2,1.0200125603861605
3,8,3,0.9578602814121159
3,9,0,0.9710213455260978
3,9,1,0.9658136954656312
3,9,2,0.9981024158429497
3,9,3,1.0093740891148288
3,10,0,0.9774554969336535
3,10,1,1.0200125603861605
3,10,2,1.0143767237502208
3,10,3,0.9610831273608664
3,11,0,0.9774554969336535
3,11,1,1.0200125603861605
3,11,2,1.0143767237502208
3,11,3,0.9610831273608664
3,12,0,0.9774554969336535
3,12,1,1.0200125603861605
3,12,2,1.0143767237502208
3,12,3,0.9610831273608664
3,13,0,0.9773718533351453
3,13,1,0.9644804695401379
3,13,2,0.9677033154888904
3,13,3,1.0169642106679284
3,14,0,0.9804202030533771
3,14,1,0.9675288192583701
3,14,2,0.9707516652071223
3,14,3,0.9645641131386467
3,15,0,0.9804202030533771
3,15,1,0.9675288192583701
3,15,2,0.9707516652071223
3,15,3,0.9645641131386467
3,16,0,0.9804202030533771
3,16,1,0.9675288192583701
3,16,2,0.9707516652071223
3,16,3,0.9645641131386467
3,17,0,0.9804202030533771
3,17,1,0.9675288192583701
3,17,2,0.9707516652071223
3,17,3,0.9645641131386467
3,18,0,1.0378942073460018
3,18,1,0.9821876202694599
3,18,2,0.9854104662182114
3,18,3,1.042472182279447
3,19,0,1.0200125603861605
3,19,1,1.0200125603861605
3,19,2,1.0143767237502208
3,19,3,0.9610831273608664
3,20,0,1.0290639925088114
3,20,1,0.9677215687963296
3,20,2,0.9644987228475778
3,20,3,1.0292991865752592
3,21,0,0.9610831273608664
3,21,1,1.0200125603861605
3,21,2,0.9610831273608664
3,21,3,0.9610831273608664
3,22,0,0.9612758768988272
3,22,1,0.9612758768988272
3,22,2,0.9612758768988272
3,22,3,1.0349350232111985
3,23,0,0.9612758768988272
3,23,1,0.9612758768988272
3,23,2,0.9612758768988272
3,23,3,1.0349350232111985
4,0,0,1.0362829062020187
4,0,1,1.0362829062020187
4,0,2,1.0362829062020187
4,0,3,1.0362829062020187
4,1,0,1.0362829062020187
4,1,1,1.0362829062020187
4,1,2,1.0362829062020187
4,1,3,1.0362829062020187
4,2,0,1.0362829062020187
4,2,1,1.0362829062020187
4,2,2,1.0362829062020187
4,2,3,1.0362829062020187
4,3,0,1.0362829062020187
4,3,1,1.0362829062020187
4,3,2,1.0362829062020187
4,3,3,1.0362829062020187
4,4,0,1.0362829062020187
4,4,1,1.0362829062020187
4,4,2,1.0362829062020187
4,4,3,1.0362829062020187
4,5,0,1.0169463746710383
4,5,1,0.9572952520017356
4,5,2,0.9582267608921609
4,5,3,1.0229526149316694
4,6,0,0.959447016190495
4,6,1,1.0240122858517289
4,6,2,1.0180060455910978
4,6,3,0.9565945738664359
4,7,0,0.959447016190495
4,7,1,1.0240122858517289
4,7,2,1.0180060455910978
4,7,3,0.9565945738664359
4,8,0,0.959447016190495
